0	1	0.29465	8.0906
10	1	1.0313	7.8519
10	2	0.27929	9.9891
20	1	1.7679	7.6132
20	2	1.0639	9.8588
30	1	2.5155	7.3641
30	2	1.8483	9.7287
40	1	3.2793	7.0987
40	2	2.6106	9.5674
50	1	4.0432	6.8335
50	2	3.3634	9.3932
60	1	4.8508	6.618
60	2	4.1119	9.2018
70	1	5.6771	6.4235
70	2	4.8211	8.8569
80	1	6.5034	6.229
80	2	5.5306	8.5123
80	3	0.078293	8.7521
90	1	7.3236	6.0479
90	2	6.2437	8.1507
90	3	0.65918	8.4562
100	1	8.1435	5.867
100	2	6.962	7.7638
100	3	1.2401	8.1603
110	1	8.9673	5.6925
110	2	7.6805	7.377
110	3	1.8279	7.8705
120	1	9.8237	5.5772
120	2	8.4194	7.0125
120	3	2.4437	7.6054
130	1	10.68	5.462
130	2	9.179	6.6701
130	3	3.0595	7.3402
140	1	11.527	5.3395
140	2	9.9466	6.3522
140	3	3.6865	7.077
150	1	12.333	5.1885
150	2	10.746	6.1326
150	3	4.3244	6.8159
160	1	13.14	5.0374
160	2	11.546	5.913
160	3	4.9623	6.555
170	1	13.952	4.8937
170	2	12.334	5.8405
170	3	5.5908	6.3006
180	1	14.782	4.7808
180	2	13.117	5.8309
180	3	6.1965	6.062
190	1	15.613	4.6677
190	2	13.897	5.8328
190	3	6.8024	5.8233
200	2	14.665	5.8806
200	3	7.4084	5.5846
210	2	15.433	5.9283
210	3	8.1176	5.3725
220	3	8.8271	5.1603
230	3	9.5364	4.9481
230	4	15.294	9.0972
240	4	14.615	9.1624
240	5	15.042	8.5691
250	4	13.936	9.2275
250	5	14.351	8.5803
260	4	13.24	9.3383
260	5	13.659	8.5918
270	4	12.529	9.4946
270	5	12.948	8.7729
280	4	11.818	9.6509
280	5	12.237	8.9538
290	4	11.139	9.8509
290	5	11.525	9.1342
300	4	10.483	10.08
300	5	10.804	9.3087
310	4	9.8296	10.307
310	5	10.084	9.4831
320	4	9.206	10.52
320	5	9.3876	9.6528
330	4	8.5823	10.732
330	5	8.7158	9.818
340	4	7.9472	10.913
340	5	8.0438	9.9834
350	4	7.2947	11.048
350	5	7.3831	10.136
360	4	6.6423	11.184
360	5	6.7237	10.287
370	4	6.0039	11.316
370	5	6.0641	10.438
380	4	5.3864	11.443
380	5	5.4098	10.607
390	4	4.7691	11.57
390	5	4.7557	10.777
400	4	4.1413	11.693
400	5	4.1024	10.947
410	4	3.4979	11.809
410	5	3.4542	11.109
420	4	2.8545	11.925
420	5	2.8059	11.271
430	4	2.2111	12.041
430	5	2.1585	11.42
440	4	1.573	12.163
440	5	1.5118	11.56
450	4	0.93573	12.285
450	5	0.86501	11.7
460	4	0.29823	12.408
460	5	0.21825	11.839
470	4	-0.33906	12.531
470	5	-0.42872	11.979
500	6	15.005	9.0144
510	6	14.576	8.9805
520	6	14.148	8.9464
530	6	13.712	8.9218
540	6	13.265	8.912
550	6	12.817	8.902
560	6	12.329	9.0044
570	6	11.84	9.1065
580	6	11.356	9.1965
590	6	10.892	9.2378
600	6	10.427	9.2789
610	6	9.9662	9.3256
